standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,status,mandatory_status,summary,official_url,date_verified,verification_status,notes
BCHYDRO-TGI-TIR-60-500KV,TIR 60 kV to 500 kV,Technical Interconnection Requirements for Power Generators,BC Hydro,standard,Canada - British Columbia,BC Hydro transmission generator interconnection,current,Active,Applies to power generator interconnections at 60 kV to 500 kV,BC Hydro technical interconnection requirements for transmission connected power generators,https://app.bchydro.com/content/dam/BCHydro/customer-portal/documents/transmission/tgi/60kv-500kv-TIR-for-power-generators.pdf,2026-08-23,verified,Linked from BC Hydro transmission generator interconnection page.
BCHYDRO-TGI-FACILITY-REQ-69-500KV,Transmission Facility Requirements 69 kV to 500 kV,Interconnection Requirements for Transmission Facilities,BC Hydro,standard,Canada - British Columbia,BC Hydro transmission facility interconnection,2013-09-10,Active,Applies to transmission facility interconnections at 69 kV to 500 kV,BC Hydro interconnection requirements for transmission facilities,https://app.bchydro.com/content/dam/BCHydro/customer-portal/documents/transmission/tgi/studies/interconnection-requirements-for-transmission-facilities-2013-09-10.pdf,2026-08-23,verified,Linked from BC Hydro transmission generator interconnection page.
BCHYDRO-OATT-SGIP,Attachment M-1 SGIP,Standard Generator Interconnection Procedures including SGIA,BC Hydro,procedure,Canada - British Columbia,BC Hydro transmission generator interconnection,current,Active,Procedures for generator interconnection under the BC Hydro OATT,BC Hydro OATT Attachment M-1 standard generator interconnection procedures and agreement,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/tariff-filings/open-access-transmission-tariff/16-attachment-m1-oatt.pdf,2026-08-23,verified,Linked from BC Hydro OATT and transmission generator interconnection pages.
BCHYDRO-OATT-ATTACHMENT-K,Attachment K,Transmission Planning Process,BC Hydro,procedure,Canada - British Columbia,BC Hydro transmission planning,current,Active,Defines transmission planning process under the BC Hydro OATT,BC Hydro OATT Attachment K transmission planning process,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/tariff-filings/open-access-transmission-tariff/attachment-k-transmission-planning-process.pdf,2026-08-23,verified,Related business practices are tracked separately.
BCHYDRO-TRANSMISSION-STUDIES-GUIDE,Transmission System Studies Guide,Transmission System Studies Guide,BC Hydro,guidance,Canada - British Columbia,BC Hydro transmission planning,2014-11-07,Active,Guidance for transmission system studies and planning support,BC Hydro transmission system studies guide referenced from transmission capital planning page,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/regulatory-planning-documents/transmission-planning/transmission-system-studies-guide.pdf,2026-08-23,verified,Guide is useful planning metadata but should be classified separately from binding tariff terms.
BCHYDRO-BES-FACILITY-RATINGS-METHODOLOGY,BES Facility Ratings Methodology,Bulk Electric System Facility Ratings Methodology,BC Hydro,methodology,Canada - British Columbia,BC Hydro transmission planning,current,Active,Methodology reference for bulk electric system facility ratings,BC Hydro bulk electric system facility ratings methodology appendix,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/regulatory-planning-documents/transmission-planning/appendix-1-bulk-electric-system.pdf,2026-08-23,verified,Linked from transmission capital planning page.
BCHYDRO-SOL-METHODOLOGY-PLANNING,SOL Methodology Planning Horizon,System Operating Limits Methodology for Planning Horizon,BC Hydro,methodology,Canada - British Columbia,BC Hydro transmission planning,2014-06-24,Active,Methodology reference for system operating limits in the planning horizon,BC Hydro system operating limits methodology report for planning horizon,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/regulatory-planning-documents/transmission-planning/appendix-3-system-operating-limits-methodology.pdf,2026-08-23,verified,Linked from transmission capital planning page.
BCHYDRO-SOO-5T-10,SOO 5T-10,Ratings For All Transmission Circuits 60 kV Or Higher,BC Hydro,operating_order,Canada - British Columbia,BC Hydro system operating orders,current,Active,Applies to transmission circuit ratings for circuits 60 kV or higher,BC Hydro system operating order for transmission circuit ratings,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/suppliers/transmission-system/system_operating_orders/5T-10.pdf,2026-08-23,verified,Linked from BC Hydro system operating orders page.
BCHYDRO-SOO-5T-14,SOO 5T-14,Ratings for All Transmission and Distribution Transformers,BC Hydro,operating_order,Canada - British Columbia,BC Hydro system operating orders,current,Active,Applies to transmission and distribution transformer ratings,BC Hydro system operating order for transformer ratings,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/suppliers/transmission-system/system_operating_orders/5T-14.pdf,2026-08-23,verified,BC Hydro source page has a minor spelling typo in the displayed title.
BCHYDRO-SOO-7T-22,SOO 7T-22,System Voltage Control,BC Hydro,operating_order,Canada - British Columbia,BC Hydro system operating orders,current,Active,Applies to transmission system voltage control,BC Hydro system operating order for system voltage control,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/suppliers/transmission-system/system_operating_orders/7T-22.pdf,2026-08-23,verified,Linked from BC Hydro system operating orders page.
BCHYDRO-SOO-7T-17,SOO 7T-17,BC - Alberta Interconnection,BC Hydro,operating_order,Canada - British Columbia,BC Hydro system operating orders,current,Active,Applies to the BC and Alberta interconnection,BC Hydro system operating order for the BC Alberta interconnection,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/suppliers/transmission-system/system_operating_orders/7T-17.pdf,2026-08-23,verified,Linked from BC Hydro system operating orders page.
BCHYDRO-SOO-7T-18,SOO 7T-18,BC - US Interconnection,BC Hydro,operating_order,Canada - British Columbia,BC Hydro system operating orders,current,Active,Applies to the BC and United States interconnection,BC Hydro system operating order for the BC US interconnection,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/suppliers/transmission-system/system_operating_orders/7T-18.pdf,2026-08-23,verified,Linked from BC Hydro system operating orders page.
