standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,status,mandatory_status,summary,official_url,source_download_url,date_verified,verification_status,notes
AESO-ARS-IRO-005,IRO-005,Reliability Coordination - Current Day Operations,AESO,standard,Canada - Alberta,Alberta reliability standard - Interconnection Reliability Operations and Coordination,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the IRO family for reliability coordination obligations.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-005-reliability-coordination-current-day-operations/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-005-reliability-coordination-current-day-operations//download/IRO-005-AB1-3.1a.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-IRO-006,IRO-006,Reliability Coordination - Transmission Loading Relief,AESO,standard,Canada - Alberta,Alberta reliability standard - Interconnection Reliability Operations and Coordination,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the IRO family for reliability coordination obligations.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-006-reliability-coordination-transmission-loading-relief/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-006-reliability-coordination-transmission-loading-relief//download/IRO-006-AB-5-April-1-2015.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-IRO-006-WECC,IRO-006-WECC,Qualified Transfer Path Unscheduled Flow Relief,AESO,standard,Canada - Alberta,Alberta reliability standard - Interconnection Reliability Operations and Coordination,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the IRO family for WECC related unscheduled flow relief.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-006-wecc-qualified-transfer-path-unscheduled-flow-relief/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-006-wecc-qualified-transfer-path-unscheduled-flow-relief//download/IRO-006-WECC-AB-2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-IRO-008,IRO-008,Reliability Coordinator Operational Analyses and Real-time Assessments,AESO,standard,Canada - Alberta,Alberta reliability standard - Interconnection Reliability Operations and Coordination,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the IRO family for operational analyses and real-time assessments.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-008-reliability-coordinator-operational-analysis-and-real-time-assessments/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-008-reliability-coordinator-operational-analysis-and-real-time-assessments//download/IRO-008-AB-2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-IRO-009,IRO-009,Reliability Coordinator Actions to Operate Within IROLs,AESO,standard,Canada - Alberta,Alberta reliability standard - Interconnection Reliability Operations and Coordination,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the IRO family for actions to operate within IROLs.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-009-reliability-coordinator-actions-to-operate-within-irols/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-009-reliability-coordinator-actions-to-operate-within-irols//download/IRO-009-AB-2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-IRO-010,IRO-010,Reliability Coordinator Data Specification and Collection,AESO,standard,Canada - Alberta,Alberta reliability standard - Interconnection Reliability Operations and Coordination,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the IRO family for data specification and collection.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-010-reliability-coordinator-data-specification-and-collection/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-010-reliability-coordinator-data-specification-and-collection//download/IRO-010-AB-2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-IRO-014,IRO-014,Coordination Among Reliability Coordinators,AESO,standard,Canada - Alberta,Alberta reliability standard - Interconnection Reliability Operations and Coordination,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the IRO family for coordination among reliability coordinators.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-014-procedures-processes-or-plans-to-support-coordination-between-reliability-coordinators/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-014-procedures-processes-or-plans-to-support-coordination-between-reliability-coordinators//download/IRO-014-AB-3.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-IRO-017,IRO-017,Outage Coordination,AESO,standard,Canada - Alberta,Alberta reliability standard - Interconnection Reliability Operations and Coordination,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the IRO family for outage coordination.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-017/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-017//download/IRO-017-AB-1.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-IRO-018,IRO-018,Reliability Coordination Real Time Reliability Monitoring and Analysis Capabilities,AESO,standard,Canada - Alberta,Alberta reliability standard - Interconnection Reliability Operations and Coordination,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the IRO family for real-time reliability monitoring and analysis capabilities.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-018/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/iro-018//download/IRO-018-AB-1i.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-MOD-010-012,MOD-010&012,Steady-State and Dynamic Data for Transmission System Modeling and Simulation,AESO,standard,Canada - Alberta,Alberta reliability standard - Modeling Data and Analysis,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the MOD family for transmission system modeling and simulation data.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/mod-010-and-012-steady-state-and-dynamic-data-for-transmission-system-modeling-and-simulation/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/mod-010-and-012-steady-state-and-dynamic-data-for-transmission-system-modeling-and-simulation//download/MOD-010-and-012-AB-0-posted-version.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-MOD-031,MOD-031,Demand and Energy Data,AESO,standard,Canada - Alberta,Alberta reliability standard - Modeling Data and Analysis,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the MOD family for demand and energy data.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/mod-031/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/mod-031//download/MOD-031-AB-2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PER-003,PER-003,Operations Personnel Credentials,AESO,standard,Canada - Alberta,Alberta reliability standard - Personnel Performance Training and Qualifications,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PER family for personnel performance training and qualification obligations.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/per-003-ab-1-operations-personnel-credentials/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/per-003-ab-1-operations-personnel-credentials//download/PER-003-AB-1-Operations-Personnel-Credentials2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PER-004,PER-004,Reliability Coordination - Staffing,AESO,standard,Canada - Alberta,Alberta reliability standard - Personnel Performance Training and Qualifications,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PER family for reliability coordination staffing.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/per-004-reliability-coordination-staffing/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/per-004-reliability-coordination-staffing//download/PER-004-AB-2-Final-Copy-Standard-Approved-by-AUC-2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PER-005,PER-005,Operations Personnel Training,AESO,standard,Canada - Alberta,Alberta reliability standard - Personnel Performance Training and Qualifications,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PER family for operations personnel training.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/per-005-operations-personnel-training/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/per-005-operations-personnel-training//download/PER-005-AB-2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PER-006,PER-006,Specific Training for Personnel,AESO,standard,Canada - Alberta,Alberta reliability standard - Personnel Performance Training and Qualifications,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PER family for specific personnel training.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/per-006/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/per-006//download/PER-006-AB-1-Specific-Training-for-Personnel.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PRC-001,PRC-001,Protection System Coordination,AESO,standard,Canada - Alberta,Alberta reliability standard - Protection and Control,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PRC family for protection and control obligations.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-001-protection-system-coordination/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-001-protection-system-coordination//download/PRC-001-AB3-1.1ii.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PRC-002,PRC-002,Disturbance Monitoring and Reporting Requirements,AESO,standard,Canada - Alberta,Alberta reliability standard - Protection and Control,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PRC family for disturbance monitoring and reporting requirements.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-002/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-002//download/PRC-002-AB-2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PRC-004,PRC-004,Analysis and Mitigation of Transmission and Generation Protection System Misoperation,AESO,standard,Canada - Alberta,Alberta reliability standard - Protection and Control,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PRC family for protection system misoperation analysis and mitigation.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-004-analysis-and-mitigation-of-transmission-and-generation-protection-system-misoperation/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-004-analysis-and-mitigation-of-transmission-and-generation-protection-system-misoperation//download/PRC-004-AB2-1.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PRC-004-WECC,PRC-004-WECC,Protection System and Remedial Action Scheme Misoperation,AESO,standard,Canada - Alberta,Alberta reliability standard - Protection and Control,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PRC family for WECC related protection system and remedial action scheme misoperation.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-004-wecc-protection-system-and-remedial-action-scheme-misoperation/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-004-wecc-protection-system-and-remedial-action-scheme-misoperation//download/PRC-004-WECC-AB1-1.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PRC-005,PRC-005,Protection System Automatic Reclosing and Sudden Pressure Relaying Maintenance,AESO,standard,Canada - Alberta,Alberta reliability standard - Protection and Control,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PRC family for protection system maintenance.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-005-protection-system-automatic-reclosing-and-sudden-pressure-relaying-maintenance/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-005-protection-system-automatic-reclosing-and-sudden-pressure-relaying-maintenance//download/PRC-005-AB2-6-Protection-system-Maintenance.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PRC-006,PRC-006,Automatic Underfrequency Load Shedding,AESO,standard,Canada - Alberta,Alberta reliability standard - Protection and Control,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PRC family for automatic underfrequency load shedding.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-006/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-006//download/PRC-006-AB-3.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PRC-010,PRC-010,Under Voltage Load Shedding,AESO,standard,Canada - Alberta,Alberta reliability standard - Protection and Control,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PRC family for under voltage load shedding.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-010-assessment-of-the-design-and-effectiveness-of-uvls-program/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-010-assessment-of-the-design-and-effectiveness-of-uvls-program//download/PRC-010-AB-2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PRC-019,PRC-019,Coordination of Generating Unit or Plant Capabilities Voltage Regulating Controls and Protection,AESO,standard,Canada - Alberta,Alberta reliability standard - Protection and Control,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PRC family for coordination of generating unit or plant capabilities voltage controls and protection.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-019/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-019//download/PRC-019-AB-2.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PRC-023,PRC-023,Transmission Relay Loadability,AESO,standard,Canada - Alberta,Alberta reliability standard - Protection and Control,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PRC family for transmission relay loadability.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-023-transmission-relay-loadability/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-023-transmission-relay-loadability//download/PRC-023-AB-4-.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-PRC-025,PRC-025,Generator Load Reliability,AESO,standard,Canada - Alberta,Alberta reliability standard - Protection and Control,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the PRC family for generator load reliability.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-025/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/prc-025//download/PRC-025-AB-2-.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-TPL-001,TPL-001,System Performance Under Normal Conditions,AESO,standard,Canada - Alberta,Alberta reliability standard - Transmission Planning,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the TPL family for transmission planning performance.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/tpl-001-system-performance-under-normal-conditions/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/tpl-001-system-performance-under-normal-conditions//download/TPL-001-AB-0.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-TPL-002,TPL-002,System Performance Following Loss of a Single BES Element,AESO,standard,Canada - Alberta,Alberta reliability standard - Transmission Planning,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the TPL family for transmission planning performance.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/tpl-002-system-performance-following-loss-of-a-single-bes-element/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/tpl-002-system-performance-following-loss-of-a-single-bes-element//download/TPL-002-AB1-0.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-TPL-003,TPL-003,System Performance Following Loss of Two or More BES Elements,AESO,standard,Canada - Alberta,Alberta reliability standard - Transmission Planning,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the TPL family for transmission planning performance.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/tpl-003-system-performance-following-loss-of-two-or-more-bes-elements/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/tpl-003-system-performance-following-loss-of-two-or-more-bes-elements//download/TPL-003-AB-0.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-TPL-004,TPL-004,System Performance Following Extreme BES Events,AESO,standard,Canada - Alberta,Alberta reliability standard - Transmission Planning,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the TPL family for transmission planning performance.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/tpl-004-system-performance-following-extreme-bes-events/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/tpl-004-system-performance-following-extreme-bes-events//download/TPL-004-AB-0.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-VAR-001,VAR-001,Voltage and Reactive Control,AESO,standard,Canada - Alberta,Alberta reliability standard - Voltage and Reactive,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the VAR family for voltage and reactive control.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/var-001-voltage-and-reactive-control/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/var-001-voltage-and-reactive-control//download/VAR-001-AB-4.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-VAR-002,VAR-002,Generator Operation for Maintaining Network Voltages,AESO,standard,Canada - Alberta,Alberta reliability standard - Voltage and Reactive,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the VAR family for generator operation and network voltage maintenance.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/var-002-generator-operation-for-maintaining-network-voltages/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/var-002-generator-operation-for-maintaining-network-voltages//download/VAR-002-AB-4.1.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-VAR-501-WECC,VAR-501-WECC,Power System Stabilizer,AESO,standard,Canada - Alberta,Alberta reliability standard - Voltage and Reactive,current,Active,Binding reliability requirement in Alberta when applicable,Alberta Reliability Standard in the VAR family for WECC related power system stabilizer requirements.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/var-501-wecc-power-system-stabilizer/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/var-501-wecc-power-system-stabilizer//download/VAR-501-WECC-AB-1.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
AESO-ARS-ADM-002,ADM-002,Waivers and Variances,AESO,standard,Canada - Alberta,Alberta reliability standard - Administrative,current,Active,Binding reliability requirement in Alberta when applicable,Administrative Alberta Reliability Standard for waivers and variances.,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/adm-002-waivers-and-variances/,https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/adm-002-waivers-and-variances//download/ADM-002-AB-1-Waivers-and-Variances.pdf,2026-08-23,verified,Current status verified from AESO Individual Alberta Reliability Standards page.
